Age;BMI;Tflight;THeight;2Axel
22;27.0416441319632;113;1.6;0
22;27.0416441319632;119;1.7;0
22;27.0416441319632;124;1.9;0
22;27.0416441319632;131;2.1;0
22;27.0416441319632;136;2.3;0
22;27.0416441319632;152;2.8;0
22;27.0416441319632;153;2.9;0
22;27.0416441319632;321;12.6;0
22;27.0416441319632;322;12.7;0
22;27.0416441319632;326;13;0
22;27.0416441319632;334;13.7;0
22;27.0416441319632;356;15.5;0
22;27.0416441319632;375;17.2;0
22;27.0416441319632;384;18.1;0
22;27.0416441319632;390;18.6;0
22;27.0416441319632;418;21.4;0
22;27.0416441319632;420;21.6;0
22;27.0416441319632;428;22.5;0
22;27.0416441319632;444;24.2;0
22;27.0416441319632;450;24.8;0
15;24.1671624033314;464;26.4;0
15;24.1671624033314;464;26.4;0
15;24.1671624033314;458;25.7;0
15;24.1671624033314;458;25.7;0
15;24.1671624033314;456;25.5;0
15;24.1671624033314;455;25.4;0
15;24.1671624033314;454;25.3;0
15;24.1671624033314;454;25.3;0
15;24.1671624033314;452;25;0
15;24.1671624033314;451;24.9;0
15;24.1671624033314;446;24.4;0
15;24.1671624033314;446;24.4;0
15;24.1671624033314;446;24.4;0
15;24.1671624033314;445;24.3;0
15;24.1671624033314;441;23.8;0
15;24.1671624033314;0.44;23.7;0
15;24.1671624033314;437;23.4;0
15;24.1671624033314;437;23.4;0
15;24.1671624033314;433;23;0
15;24.1671624033314;422;21.8;0
15;24.1671624033314;342;14.3;0
15;24.1671624033314;333;13.6;0
15;24.1671624033314;331;13.4;0
15;24.1671624033314;323;12.8;0
15;24.1671624033314;319;12.5;0
15;24.1671624033314;319;12.5;0
15;24.1671624033314;317;12.3;0
15;24.1671624033314;316;12.2;0
15;24.1671624033314;313;12;0
15;24.1671624033314;313;12;0
15;24.1671624033314;313;12;0
15;24.1671624033314;312;11.9;0
15;24.1671624033314;308;11.6;0
15;24.1671624033314;307;11.6;0
15;24.1671624033314;305;11.4;0
15;24.1671624033314;303;11.3;0
15;24.1671624033314;302;11.2;0
15;24.1671624033314;302;11.2;0
15;24.1671624033314;297;10.8;0
15;24.1671624033314;297;10.8;0
15;24.1671624033314;297;10.8;0
15;24.1671624033314;294;10.6;0
15;24.1671624033314;294;10.6;0
15;24.1671624033314;0.29;10.3;0
15;24.1671624033314;289;10.2;0
15;24.1671624033314;288;10.2;0
15;24.1671624033314;287;10.1;0
15;24.1671624033314;287;10.1;0
15;24.1671624033314;283;9.8;0
15;24.1671624033314;278;9.5;0
15;24.1671624033314;277;9.4;0
15;24.1671624033314;274;9.2;0
15;24.1671624033314;271;9;0
15;24.1671624033314;269;8.9;0
15;24.1671624033314;267;8.7;0
15;24.1671624033314;267;8.7;0
15;24.1671624033314;264;8.5;0
15;24.1671624033314;263;8.5;0
15;24.1671624033314;257;8.1;0
15;24.1671624033314;257;8.1;0
15;24.1671624033314;253;7.8;0
15;24.1671624033314;252;7.8;0
15;24.1671624033314;248;7.5;0
15;24.1671624033314;244;7.3;0
15;24.1671624033314;233;6.7;0
12;20.7756232686981;379;17.6;0
12;20.7756232686981;378;17.5;0
12;20.7756232686981;377;17.4;0
12;20.7756232686981;375;17.2;0
12;20.7756232686981;373;17.1;0
12;20.7756232686981;373;17.1;0
12;20.7756232686981;0.37;16.8;0
12;20.7756232686981;367;16.5;0
12;20.7756232686981;367;16.5;0
12;20.7756232686981;362;16.1;0
12;20.7756232686981;0.36;15.9;0
12;20.7756232686981;356;15.5;0
12;20.7756232686981;356;15.5;0
12;20.7756232686981;351;15.1;0
12;20.7756232686981;348;14.8;0
12;20.7756232686981;348;14.8;0
12;20.7756232686981;347;14.8;0
12;20.7756232686981;347;14.8;0
12;20.7756232686981;345;14.6;0
12;20.7756232686981;344;14.5;0
12;20.7756232686981;344;14.5;0
12;20.7756232686981;311;11.9;0
12;20.7756232686981;299;11;0
